symbol,horizon,model,control_seed,bin,day,latency,long_crossed_bps,prediction_bps,rows,short_crossed_bps
KGHM,10,xgboost,,10.0,2017-12-29,0,-6.289057397447221,0.8064523974431378,1722,-8.29129241718066
KGHM,10,xgboost,,1.0,all,1,-7.385595961939562,-0.785640317315108,8718,-6.080132539417816
KGHM,10,xgboost,,2.0,all,1,-9.508329831746407,-0.40914114756150877,8727,-8.802219355588825
KGHM,10,xgboost,,3.0,all,1,-9.382747539324168,-0.22673666766805536,8706,-8.760795177116833
KGHM,10,xgboost,,4.0,all,1,-10.399114092644254,-0.0921135784728937,8736,-9.888991919509868
KGHM,10,xgboost,,5.0,all,1,-10.500603601929758,0.014446346377420196,8699,-10.317888977150487
KGHM,10,xgboost,,6.0,all,1,-10.22016620168059,0.11797149873193388,8720,-10.146544261097967
KGHM,10,xgboost,,7.0,all,1,-9.602339723383055,0.22995749828072642,8711,-10.049166968545405
KGHM,10,xgboost,,8.0,all,1,-10.225534419377809,0.3540195038374061,8732,-10.757116770044254
KGHM,10,xgboost,,9.0,all,1,-7.9281753218281885,0.5046775504034113,8703,-8.885090906077616
KGHM,10,xgboost,,10.0,all,1,-5.9359643429051046,0.8338483032309282,8716,-7.383295647292584
KGHM,10,xgboost,,1.0,2017-12-27,1,-6.423331415656329,-0.7980063725402174,3343,-5.332054719722905
KGHM,10,xgboost,,2.0,2017-12-27,1,-7.4177243728406985,-0.40797997282386633,2509,-6.902753512851178
KGHM,10,xgboost,,3.0,2017-12-27,1,-8.06467170133169,-0.22518642270903558,1972,-7.663898433139638
KGHM,10,xgboost,,4.0,2017-12-27,1,-8.090175611539983,-0.09211236672631487,1868,-7.775372511838771
KGHM,10,xgboost,,5.0,2017-12-27,1,-8.55387215182877,0.015645850176472804,1928,-8.602818783649726
KGHM,10,xgboost,,6.0,2017-12-27,1,-8.537603669468783,0.12274247735080406,1856,-8.721813274057741
KGHM,10,xgboost,,7.0,2017-12-27,1,-7.264054946489857,0.23424936341626787,1693,-7.966273453055599
KGHM,10,xgboost,,8.0,2017-12-27,1,-7.9351242977363174,0.3536502749385991,1947,-8.457801623748152
KGHM,10,xgboost,,9.0,2017-12-27,1,-7.223073653445404,0.5032494021082232,2172,-8.006208519954404
KGHM,10,xgboost,,10.0,2017-12-27,1,-5.123092870936345,0.8635456761365089,3101,-6.300077551209493
KGHM,10,xgboost,,1.0,2017-12-28,1,-8.101499489052555,-0.7709533491438177,2812,-6.6336030964150545
KGHM,10,xgboost,,2.0,2017-12-28,1,-9.141989303420967,-0.4159352451696724,2672,-8.184000635548816
KGHM,10,xgboost,,3.0,2017-12-28,1,-9.353340588853152,-0.22165853160257917,3130,-8.665588952423265
KGHM,10,xgboost,,4.0,2017-12-28,1,-10.277474418241571,-0.09400076259809889,3344,-9.507367703880334
KGHM,10,xgboost,,5.0,2017-12-28,1,-9.92764146986498,0.014738706942863802,3376,-9.571470366354916
KGHM,10,xgboost,,6.0,2017-12-28,1,-9.8844105577479,0.11378926798455083,3813,-9.674904292935071
KGHM,10,xgboost,,7.0,2017-12-28,1,-9.320519214211249,0.22765045550423463,4033,-9.660976218214955
KGHM,10,xgboost,,8.0,2017-12-28,1,-10.307911495723397,0.35340217830127457,3723,-10.771838399973628
KGHM,10,xgboost,,9.0,2017-12-28,1,-7.951317772526422,0.5087526680762241,4289,-8.808467896315154
KGHM,10,xgboost,,10.0,2017-12-28,1,-6.28866445996449,0.8223107220304064,3893,-7.849127245497217
KGHM,10,xgboost,,1.0,2017-12-29,1,-7.855252481636443,-0.7856247230428204,2563,-6.448632322860601
KGHM,10,xgboost,,2.0,2017-12-29,1,-11.263600837973142,-0.4048432227469943,3546,-10.612044572558839
KGHM,10,xgboost,,3.0,2017-12-29,1,-10.129498179583724,-0.23199517181459464,3604,-9.443668612858758
