breakeven_shortfall_bps,cohort,common_rows,control_seed,coverage,crossed_bps,entry_half_spread_bps,exit_half_spread_bps,gross_midpoint_bps,horizon,latency,max_identity_error_bps,model,period,prediction_rows,selected_rows,symbol,undefined_reason,unit
5.640202154557339,monthly,946426,,9.720781128160046e-05,-5.640202154557339,2.817097844746644,3.8049602877061846,0.9818559778954936,20,0,2.219557870830613e-12,linear,2017-04,946426,92,PKOBP,,bp
6.44483805434927,monthly,946426,,9.720781128160046e-05,-6.44483805434927,3.3959686393609934,3.8049926393432525,0.7561232243549467,20,1,2.219557870830613e-12,linear,2017-04,946426,92,PKOBP,,bp
7.038404632474023,monthly,946426,,9.720781128160046e-05,-7.038404632474023,3.6894290169457578,3.8052494238521244,0.4562738083237831,20,5,2.219557870830613e-12,linear,2017-04,946426,92,PKOBP,,bp
6.5097704273273855,monthly,946426,,0.03565836103403753,-6.5097704273273855,3.5239473201821805,4.006779900967767,1.0209567938225632,20,0,2.219557870830613e-12,xgboost,2017-04,946426,33748,PKOBP,,bp
6.91994520948588,monthly,946426,,0.03565836103403753,-6.91994520948588,3.7000622674545443,4.006781999293596,0.7868990572622657,20,1,2.219557870830613e-12,xgboost,2017-04,946426,33748,PKOBP,,bp
7.374588594657979,monthly,946426,,0.03565836103403753,-7.374588594657979,3.8281826989134915,4.006785281167396,0.4603793854229141,20,5,2.219557870830613e-12,xgboost,2017-04,946426,33748,PKOBP,,bp
7.20998264403799,monthly,1056564,,0.0002460806917517538,-7.20998264403799,2.916773440173446,4.684678044071175,0.39146884020666917,20,0,2.1032064978498966e-12,linear,2017-06,1056564,260,PKOBP,,bp
8.45632328699216,monthly,1056564,,0.0002460806917517538,-8.45632328699216,3.791356957944369,4.684731952751559,0.01976562370381606,20,1,2.1032064978498966e-12,linear,2017-06,1056564,260,PKOBP,,bp
8.806194727293851,monthly,1056564,,0.0002460806917517538,-8.806194727293851,3.9180653433069663,4.68491143005616,-0.2032179539306995,20,5,2.1032064978498966e-12,linear,2017-06,1056564,260,PKOBP,,bp
7.696426642187806,monthly,1056564,,0.04199461651163583,-7.696426642187806,4.2014806153756625,4.902630549600957,1.4076845227888122,20,0,2.1032064978498966e-12,xgboost,2017-06,1056564,44370,PKOBP,,bp
