model,horizon,latency,metric,expected,defined,mean,median,positive,available_case_mean,cohort,mode
linear,20,0,exit_half_spread_bps,5,5,3.504275277537038,3.4200877936792935,5,3.504275277537038,later,fixed_exit
linear,20,1,exit_half_spread_bps,5,5,3.503852004878273,3.4199718958948373,5,3.503852004878273,later,fixed_exit
linear,20,5,exit_half_spread_bps,5,5,3.5038514915518277,3.419973347320011,5,3.5038514915518277,later,fixed_exit
xgboost,20,0,exit_half_spread_bps,5,5,3.1996427351435863,3.0750143161172754,5,3.1996427351435863,later,fixed_exit
xgboost,20,1,exit_half_spread_bps,5,5,3.1996315269584565,3.0750241833673435,5,3.1996315269584565,later,fixed_exit
xgboost,20,5,exit_half_spread_bps,5,5,3.199611287133396,3.0750166016643634,5,3.199611287133396,later,fixed_exit
linear,20,0,crossed_bps,5,5,-4.293157940899242,-4.618933267953027,0,-4.293157940899242,later,fixed_exit
linear,20,1,crossed_bps,5,5,-6.189011707411292,-5.290763620370576,0,-6.189011707411292,later,fixed_exit
linear,20,5,crossed_bps,5,5,-6.5456923056356136,-5.983507052814875,0,-6.5456923056356136,later,fixed_exit
xgboost,20,0,crossed_bps,5,5,-4.521075023160317,-4.598543354204525,0,-4.521075023160317,later,fixed_exit
xgboost,20,1,crossed_bps,5,5,-4.943930800373803,-4.941505488456111,0,-4.943930800373803,later,fixed_exit
xgboost,20,5,crossed_bps,5,5,-5.4986729146140885,-5.4664992580453555,0,-5.4986729146140885,later,fixed_exit
linear,20,0,coverage,5,5,0.03909674875838071,0.0235935589074602,5,0.03909674875838071,later,fixed_exit
linear,20,1,coverage,5,5,0.03909674875838071,0.0235935589074602,5,0.03909674875838071,later,fixed_exit
linear,20,5,coverage,5,5,0.03909674875838071,0.0235935589074602,5,0.03909674875838071,later,fixed_exit
xgboost,20,0,coverage,5,5,0.08432853591071908,0.0961985324092947,5,0.08432853591071908,later,fixed_exit
