task_id,symbol,period,model,feature_group,spread_bin,imbalance_bin,rows,ic,undefined_reason
8f6f138d40ea4a2f0354246f4c3e962559c240eab9ffa7232b2c66e9708181ab,KGHM,2017-06,xgboost,F3,3,1,116230,0.0978507886601374,
8f6f138d40ea4a2f0354246f4c3e962559c240eab9ffa7232b2c66e9708181ab,KGHM,2017-06,xgboost,F3,3,2,140844,0.0689355012271165,
8f6f138d40ea4a2f0354246f4c3e962559c240eab9ffa7232b2c66e9708181ab,KGHM,2017-06,xgboost,F3,3,3,151044,0.078479263725402,
d196825b06cdc4725833698a828d91653fb7a83c8126382fa6954031b4309d21,KGHM,2017-06,xgboost,F4,1,1,93719,0.1441397219918396,
d196825b06cdc4725833698a828d91653fb7a83c8126382fa6954031b4309d21,KGHM,2017-06,xgboost,F4,1,2,78250,0.0910082055451981,
d196825b06cdc4725833698a828d91653fb7a83c8126382fa6954031b4309d21,KGHM,2017-06,xgboost,F4,1,3,88666,0.1399980030422993,
d196825b06cdc4725833698a828d91653fb7a83c8126382fa6954031b4309d21,KGHM,2017-06,xgboost,F4,2,1,104537,0.1074324334484379,
d196825b06cdc4725833698a828d91653fb7a83c8126382fa6954031b4309d21,KGHM,2017-06,xgboost,F4,2,2,125588,0.0587043139676698,
d196825b06cdc4725833698a828d91653fb7a83c8126382fa6954031b4309d21,KGHM,2017-06,xgboost,F4,2,3,115687,0.0951840997945913,
d196825b06cdc4725833698a828d91653fb7a83c8126382fa6954031b4309d21,KGHM,2017-06,xgboost,F4,3,1,116230,0.1006176129758298,
d196825b06cdc4725833698a828d91653fb7a83c8126382fa6954031b4309d21,KGHM,2017-06,xgboost,F4,3,2,140844,0.0677949852569313,
d196825b06cdc4725833698a828d91653fb7a83c8126382fa6954031b4309d21,KGHM,2017-06,xgboost,F4,3,3,151044,0.0663717924726214,
7e14e5a78ed32eaccc97a9d4d6fad929fe98fc49a17b5c190c3ef53628932b00,KGHM,2017-06,xgboost,F5,1,1,93719,0.1778165766282093,
7e14e5a78ed32eaccc97a9d4d6fad929fe98fc49a17b5c190c3ef53628932b00,KGHM,2017-06,xgboost,F5,1,2,78250,0.1497872811618852,
7e14e5a78ed32eaccc97a9d4d6fad929fe98fc49a17b5c190c3ef53628932b00,KGHM,2017-06,xgboost,F5,1,3,88666,0.1910910158560967,
